questions,classes
How did serfdom develop in and then leave Russia ? ~ How develop # develop serfdom # leave Russia,DESC
What films featured the character Popeye Doyle ? ~ You # featured What films # featured the character Doyle,ENTY
How can I find a list of celebrities ' real names ? ~ How find # find I # find a list of,DESC
What fowl grabs the spotlight after the Chinese Year of the Monkey ? ~ You # grabs What fowl # grabs the spotlight,ENTY
What is the full form of .com ? ~ What is # is the full form of,ABBR
What contemptible scoundrel stole the cork from my lunch ? ~ You # stole What contemptible scoundrel # stole the cork,HUM
What team did baseball 's St. Louis Browns become ? ~ You # did What team # become baseball Louis Browns,HUM
What is the oldest profession ? ~ What is # is the oldest profession,HUM
What are liver enzymes ? ~ What are # are liver enzymes,DESC
Name the scar-faced bounty hunter of The Old West . ~ You # Name the faced bounty hunter of,HUM
When was Ozzy Osbourne born ? ~ When was # born Ozzy Osbourne,NUM
Why do heavier objects travel downhill faster ? ~ Why travel # travel heavier objects,DESC
Who was The Pride of the Yankees ? ~ Who was,HUM
Who killed Gandhi ? ~ Who killed # killed Gandhi,HUM
What is considered the costliest disaster the insurance industry has ever faced ? ~ You # considered the costliest disaster faced # faced the insurance industry,ENTY
What sprawling U.S. state boasts the most airports ? ~ You # boasts What sprawling U.S. state # boasts the most airports,LOC
What did the only repealed amendment to the U.S. Constitution deal with ? ~ You # deal the only repealed amendment to,DESC
How many Jews were executed in concentration camps during WWII ? ~ How many,NUM
What is `` Nine Inch Nails '' ? ~ You # is What,DESC
What is an annotated bibliography ? ~ What is # is an annotated bibliography,DESC
What is the date of Boxing Day ? ~ What is # is the date of,NUM
What articles of clothing are tokens in Monopoly ? ~ You # are What articles of,ENTY
Name 11 famous martyrs . ~ You # Name 11 famous martyrs,HUM
What 's the Olympic motto ? ~ What 's # 's the Olympic motto,DESC
What is the origin of the name ` Scarlett ' ? ~ What is # is the origin of Scarlett,DESC
What 's the second-most-used vowel in English ? ~ What 's # 's the used vowel in,ENTY
Who was the inventor of silly putty ? ~ Who was # was the inventor of,HUM
What is the highest waterfall in the United States ? ~ What is # is the highest waterfall in,LOC
Name a golf course in Myrtle Beach . ~ You # Name a golf course in,ENTY
Which two states enclose Chesapeake Bay ? ~ You # enclose Which two states # enclose Chesapeake Bay,LOC
What does the abbreviation AIDS stand for ? ~ You # does What # does the abbreviation stand # stand AIDS,ABBR
What does a spermologer collect ? ~ You # collect What,ENTY
How many points make up a perfect fivepin bowling score ? ~ How many # make many points # make a perfect fivepin bowling score,NUM
Which company that manufactures video-game hardware sells the `` super system '' ? ~ You # sells Which company manufactures # manufactures that # manufactures game hardware # sells the ` ` super system '',HUM
How many Community Chest cards are there in Monopoly ? ~ How many # are many Chest cards,NUM
What do Mormons believe ? ~ You # believe What # believe Mormons,DESC
When did the neanderthal man live ? ~ When live # live the neanderthal man,NUM
In what religion was Isis the nature goddess ? ~ You # was Isis,ENTY
Where do the adventures of `` The Swiss Family Robinson '' take place ? ~ Where take # take the adventures of # take place,LOC
What relative of the racoon is sometimes known as the cat-bear ? ~ You,ENTY
How can I register my website in Yahoo for free ? ~ How register # register I # register my website,DESC
What was cash-conscious Colonel Edwin L. Drake the first to drill ? ~ What was # was conscious Colonel Edwin L. Drake,ENTY
How many people in the world speak French ? ~ How many # speak many people in # speak French,NUM
How many inches over six feet is the Venus de Milo ? ~ How many # is many inches feet,NUM
How do they find or choose witnesses to an execution ? ~ How find # find they # choose witnesses,DESC
What 1920s cowboy star rode Tony the Wonder Horse ? ~ You # rode What # rode 1920s cowboy star,HUM
