questions,classes
How did serfdom develop in and then leave GPE ?,DESC
What films featured the character PERSON ?,ENTY
How can I find a list of celebrities ' real names ?,DESC
What fowl grabs the spotlight after EVENT PRODUCT ?,ENTY
What is the full form of .com ?,ABBR
What contemptible scoundrel stole the cork from my lunch ?,HUM
What team did baseball 's FAC become ?,HUM
What is the oldest profession ?,HUM
What are liver enzymes ?,DESC
Name the scar-faced bounty hunter of ORG .,HUM
When was PERSON born ?,NUM
Why do heavier objects travel downhill faster ?,DESC
Who was WORK_OF_ART ?,HUM
Who killed PERSON ?,HUM
What is considered the costliest disaster the insurance industry has ever faced ?,ENTY
What sprawling GPE state boasts the most airports ?,LOC
What did the only repealed amendment to the U.S. Constitution deal with ?,DESC
How many NORP were executed in concentration camps during EVENT ?,NUM
What is `` Nine Inch Nails '' ?,DESC
What is an annotated bibliography ?,DESC
What is the date of EVENT ?,NUM
What articles of clothing are tokens in GPE ?,ENTY
Name CARDINAL famous martyrs .,HUM
What 's the EVENT motto ?,DESC
What is the origin of the name ` Scarlett ' ?,DESC
What 's the ORDINAL-most-used vowel in LANGUAGE ?,ENTY
Who was the inventor of silly putty ?,HUM
What is the highest waterfall in GPE ?,LOC
Name a golf course in GPE .,ENTY
Which CARDINAL states enclose LOC ?,LOC
What does the abbreviation AIDS stand for ?,ABBR
What does a spermologer collect ?,ENTY
How many points make up a perfect fivepin bowling score ?,NUM
Which company that manufactures video-game hardware sells the `` super system '' ?,HUM
How many ORG cards are there in GPE ?,NUM
What do PERSON believe ?,DESC
When did the neanderthal man live ?,NUM
In what religion was Isis the nature goddess ?,ENTY
Where do the adventures of `` WORK_OF_ART take place ?,LOC
What relative of the racoon is sometimes known as the cat-bear ?,ENTY
How can I register my website in GPE for free ?,DESC
What was cash-conscious Colonel PERSON the ORDINAL to drill ?,ENTY
How many people in the world speak LANGUAGE ?,NUM
How many inches over six feet is ORG ?,NUM
How do they find or choose witnesses to an execution ?,DESC
What DATE cowboy star rode PERSON the Wonder Horse ?,HUM
What cocktail inspired PERSON to write the book ORG ?,ENTY
What ISPs exist in the LOC ?,HUM
How do you ask a total stranger out on a date ?,DESC
What weapon is the mythological character ORG most proficient with ?,ENTY
What country do the LOC belong to ?,LOC
What is ethology ?,DESC
Who was the prophet of the NORP people ?,HUM
Where did the term `` 86ed '' come from ?,DESC
Who is ORG 's arch-enemy ?,HUM
What is the nature of learning ?,DESC
What 's the only color PERSON wears on stage ?,ENTY
What 's the term for a young fox ?,ENTY
What GPE state lived under CARDINAL flags ?,LOC
What is the LOC issue ?,DESC
Where is the PERSON ?,LOC
What does `` extended definition '' mean and how would one write a paper on it ?,DESC
What country 's capital is GPE ?,LOC
What is titanium ?,DESC
Who do Herb and Tootsie live next door to ?,HUM
Which city has the oldest relationship as a sister city with GPE ?,LOC
What is a caldera ?,DESC
Why do people get calluses ?,DESC
What are the names of the tourist attractions in ORG ?,LOC
What are PERSON and GPE known for ?,DESC
What body of water does the LOC flow into ?,LOC
Who is the founder of ORG ?,HUM
What does the CARDINAL-footed PERSON domestica become when it enters a house ?,ENTY
What is the history of skateboarding ?,DESC
Who starred in WORK_OF_ART ?,HUM
How do I make fuel bricks from recycled newspaper ?,DESC
What DATE painter died in GPE ?,HUM
The corpus callosum is in what part of the body ?,ENTY
How do I log on to home page at ORG ?,DESC
"What country did the ORG occupy for CARDINAL , CD NNS IN NNP NNP NNP .",LOC
What is GPE 's most valuable resource ?,ENTY
How many species of the Great White shark are there ?,NUM
What is the origin of head lice ?,DESC
What is the nickname for the state of GPE ?,LOC
What was the ORDINAL domesticated bird ?,ENTY
How many villi are found in the small intestine ?,NUM
What country did ORG rule ?,LOC
What is a fear of shadows ?,ENTY
Who were the CARDINAL PERSON brothers ?,HUM
In DATE was GPE excluded from the ORG alliance ?,NUM
When did ORG begin broadcasting ?,NUM
What causes the body to shiver in cold temperatures ?,DESC
What are bear and bull markets ?,DESC
What PERSON book features Bilbo Baggins as the central character ?,ENTY
What is `` dew point '' ?,DESC
What is the meaning of PERSON ?,DESC
What company 's logo is a `` W '' in a circle ?,HUM
What is the definition of a cascade ?,DESC
When did PERSON painting and architecture flourish ?,NUM
What country 's national passenger rail system is called ORG ?,LOC
Who invented Make-up ?,HUM
What is the origin of the word `` attic '' ?,DESC
What did PERSON do to ORG 's hair ?,DESC
What kind of animals were in the ORG era ?,ENTY
Which of the following was PERSON ?,HUM
Who comprised the now-defunct comic book team known as the Champions ?,HUM
How do you make a paintball ?,DESC
What GPE state is Fort Knox in ?,LOC
What is a female rabbit called ?,ENTY
Where is the highest point in GPE ?,LOC
Where do chihuahuas come from ?,DESC
Where does PERSON go to work after he drops Fred off in PRODUCT cartoon series ?,LOC
What are the world 's CARDINAL oceans ?,LOC
What 's the only work by PERSON that bears his signature ?,ENTY
What is the largest snake in the world ?,ENTY
In what medium is PERSON considered to be the ORDINAL singing cowboy ?,ENTY
Where on the Internet can I find a song lyrics database similar to ORG ?,LOC
How much money does a back injury lawsuit get ?,NUM
What 's the common name for acetylsalicylic acid ?,ENTY
What does the ORG `` WORK_OF_ART '' mean ?,DESC
Where can I find a list of `` classic '' books ORDINAL and 6th graders should read ?,LOC
Which CARDINAL products use a tiger as their symbol ?,ENTY
How is the election of a new PERSON announced to the world ?,DESC
How long does it take for your blood to make CARDINAL complete trip through the body ?,NUM
How do chickens have baby chicks ?,DESC
What is the historical relationship of ORG and bingo ?,DESC
How was the element calcium named ?,DESC
What crooner joined ORG ?,HUM
What piano company claims its product is ORG '' ?,HUM
When did the PERSON mutiny take place ?,NUM
What novel inspired the movie ORG ?,ENTY
What is a transistor ?,DESC
What is a film starring PERSON ?,ENTY
What GPE dog died in the arms of PERSON in DATE ?,ENTY
What are the most common elements in the LOC 's crust ?,ENTY
"How much would it cost to purchase a QUANTITY party tent , with sides , ?",NUM
What actress has received the most PERSON nominations ?,HUM
What are equity securities ?,DESC
What is gymnophobia ?,DESC
How many years do fossils take to form ?,NUM
Where is the ORG ?,LOC
What was the name of PRODUCT dog ?,ENTY
"What city boasts PERSON 's Landing , on the banks of the GPE river ?",LOC
What FAC musical was inspired by PERSON 's Don Quixote ?,ENTY
"What is the origin of the word , JJ .",DESC
How many hostages were killed in the ORG raid ?,NUM
How you can raise your IQ ?,DESC
What does ORG stand for when used on PERSON ' cross ?,ABBR
Who produces PERSON ?,HUM
Who earns their money the hard way ?,HUM
Who founded ORG ?,HUM
What athlete makes the most money from sports merchandise sales ?,HUM
How many bends are there in a standard paper clip ?,NUM
Who discovered electricity ?,HUM
What part of your body contains the corpus callosum ?,ENTY
Who was the ORDINAL NORP in space ?,HUM
What CARDINAL NORP countries do n't border GPE ?,LOC
What album put The Beatles on the cover of ORG in DATE ?,ENTY
"What poem contains the line , `` grow old with me the best is yet to be '' .",ENTY
What is a dental root canal ?,DESC
What war did the Wanna-Go-Home Riots occur after ?,ENTY
What is the busiest air travel DATE ?,NUM
What 's the colored part of the eye called ?,ENTY
What are hook worms ?,DESC
Where is EVENT played ?,LOC
Which NORP car maker had its biggest percentage of sale in the domestic market ?,HUM
Who is the mayor of ORG ?,HUM
"What sun-blasted , QUANTITY wide valley is just north of the PERSON desert ?",LOC
In DATE did PERSON become prime minister ?,NUM
How many months does it take the moon to revolve around the LOC ?,NUM
Where are the CARDINAL steps ?,LOC
In DATE was PERSON elected president of GPE ?,NUM
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,HUM
Who directed `` Jaws '' ?,HUM
On what ORG show could PERSON be found ?,ENTY
What NORP tribe is ORG perpetually doing battle with ?,HUM
Where did NORP Pudding come from ?,DESC
Why do some clothing labels say `` Use a nonchlorine bleach '' ?,DESC
How many colonies were involved in EVENT ?,NUM
What is the name of the city that PERSON lives in ?,LOC
Where can I find pictorial directions on how to build a very simple treehouse ?,LOC
"What game 's board shows the territories of GPE , Yakutsk and PERSON ?",ENTY
What is the name of the managing director of ORG ?,HUM
What is the occupation of ORG ?,HUM
Why do horseshoes bring luck ?,DESC
"What is the CARDINAL , ORG , plan ?",DESC
What causes pneumonia ?,DESC
What are DATE in the southern hemisphere ?,NUM
What does gringo mean ?,DESC
What country contains LOC 's northernmost point ?,LOC
What therapy attempts to elicit the `` primal scream '' ?,ENTY
Where is the NORP desert ?,LOC
Which GPE police department seized the largest cocaine shipment in it 's history ?,HUM
What city is sometimes called PERSON ?,LOC
What dangles over the tongue from the palate ?,ENTY
Who created PERSON ?,HUM
What dummy received an honorary degree from ORG ?,HUM
When was the ORDINAL ORG published ?,NUM
What countries have the largest areas of forest ?,LOC
How do I start a web based business ?,DESC
PERSON brothers,HUM
What is ORG 's syndrome styloid process ?,DESC
How did PERSON die ?,DESC
When did the royal wedding of PERSON and ORG take place ?,NUM
What actor said in DATE at the Races : `` Either he 's dead or my watch has stopped '' ?,HUM
What explorer was nicknamed GPE 's Pilot ?,HUM
ORG began broadcasting in DATE ?,NUM
What is a ball that hits the foul pole called ?,ENTY
What makes hamburgers taste like steakburgers ?,DESC
